/Users/macbook/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
INFO:apscheduler.scheduler:Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO:apscheduler.scheduler:Added job "main.<locals>.<lambda>" to job store "default"
INFO:apscheduler.scheduler:Scheduler started
INFO:__main__:🚀 Bot started...
INFO:apscheduler.scheduler:Scheduler started
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:03:43 CET)" (scheduled at 2026-02-05 10:03:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:04:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:05:13 CET)" (scheduled at 2026-02-05 10:04:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:05:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:05:58 CET)" (scheduled at 2026-02-05 10:05:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:05:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:06:43 CET)" (scheduled at 2026-02-05 10:05:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:06:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:07:28 CET)" (scheduled at 2026-02-05 10:06:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:07:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:08:13 CET)" (scheduled at 2026-02-05 10:07:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:08:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:08:58 CET)" (scheduled at 2026-02-05 10:08:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:08:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:09:43 CET)" (scheduled at 2026-02-05 10:08:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:09:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:10:28 CET)" (scheduled at 2026-02-05 10:09:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:10:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:11:13 CET)" (scheduled at 2026-02-05 10:10:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:11:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:11:58 CET)" (scheduled at 2026-02-05 10:11:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:11:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:12:43 CET)" (scheduled at 2026-02-05 10:11:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:12:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:13:28 CET)" (scheduled at 2026-02-05 10:12:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:13:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:14:13 CET)" (scheduled at 2026-02-05 10:13:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:14:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:14:58 CET)" (scheduled at 2026-02-05 10:14:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:14:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:15:43 CET)" (scheduled at 2026-02-05 10:14:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:15:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:16:28 CET)" (scheduled at 2026-02-05 10:15:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:16:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:17:13 CET)" (scheduled at 2026-02-05 10:16:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:17:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:17:58 CET)" (scheduled at 2026-02-05 10:17:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:17:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:18:43 CET)" (scheduled at 2026-02-05 10:17:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:18:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:19:28 CET)" (scheduled at 2026-02-05 10:18:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:19:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:20:13 CET)" (scheduled at 2026-02-05 10:19:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:20:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:20:58 CET)" (scheduled at 2026-02-05 10:20:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:20:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:21:43 CET)" (scheduled at 2026-02-05 10:20:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:21:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:22:28 CET)" (scheduled at 2026-02-05 10:21:43.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:22:28 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:23:13 CET)" (scheduled at 2026-02-05 10:22:28.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:23:13 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:23:58 CET)" (scheduled at 2026-02-05 10:23:13.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:23:58 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:24:43 CET)" (scheduled at 2026-02-05 10:23:58.568934+01:00)
INFO:apscheduler.executors.default:Job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:24:43 CET)" executed successfully
INFO:apscheduler.executors.default:Running job "main.<locals>.<lambda> (trigger: interval[0:00:45], next run at: 2026-02-05 10:25:28 CET)" (scheduled at 2026-02-05 10:24:43.568934+01:00)
